taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit,wiki_lookup_taxonid,wiki_lookup_source,wiki_title,wiki_language,wiki_project,wiki_url,wikidata_url,wikidata_image_url,popularity
18655,22071017,2018-08-31T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/18655/22071017,"Scanlon, A. 2019. Mirimiri acrodonta. The IUCN Red List of Threatened Species 2019: e.T18655A22071017. Accessed on 24 June 2026.",Mirimiri acrodonta,Fijian Monkey-faced Bat,CR,Decreasing,200-1000,,99,species,,[],MAMMALIA,MAMMALS,CR,Mammals,True,False,CR,-179.9541512546212,-16.8395477203433,range_polygon,1,1,2,2,1,200,0.8619981705891099,1,Extant,1,Resident,18655,self,78.13882286305991,67.35552235994416,67.35552235994416,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2019,,,IUCN (International Union for Conservation of Nature) 2019. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18655,self,Fijian_monkey-faced_bat,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Fijian_monkey-faced_bat,https://www.wikidata.org/entity/Q430645,https://commons.wikimedia.org/wiki/Special:FilePath/1977.05.03%20Fijian%20Monkey-faced%20Bat%20%2CTaveuni%2C%20Fiji%203443%20ccccr.jpg,6126
18656,22071126,2016-06-13T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/18656/22071126,"Lavery, T.H. 2017. Pteralopex anceps. The IUCN Red List of Threatened Species 2017: e.T18656A22071126. Accessed on 24 June 2026.",Pteralopex anceps,Bougainville Monkey-faced Bat,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,155.31765283036742,-6.234235347085947,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,18656,self,8760.80207129083,8760.80207129083,8760.80207129083,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18656,self,Bougainville_monkey-faced_bat,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Bougainville_monkey-faced_bat,https://www.wikidata.org/entity/Q720525,https://commons.wikimedia.org/wiki/Special:FilePath/Pteralopex%20anceps.jpg,1205
18657,22074222,2016-06-13T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/18657/22074222,"Lavery, T.H. 2017. Pteralopex atrata. The IUCN Red List of Threatened Species 2017: e.T18657A22074222. Accessed on 24 June 2026.",Pteralopex atrata,Guadalcanal Monkey-faced Bat,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,160.16251015654368,-9.618818764767264,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,18657,self,5158.515719018391,5158.515719018391,5158.515719018391,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18657,self,Guadalcanal_monkey-faced_bat,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Guadalcanal_monkey-faced_bat,https://www.wikidata.org/entity/Q720567,https://commons.wikimedia.org/wiki/Special:FilePath/Pteralopex%20atrata%20Proceedings%20Smit%203.jpg,926
18658,128950188,2016-06-13T01:00:00.000+01:00,2018,https://www.iucnredlist.org/species/18658/128950188,"Lavery, T.H. 2018. Pteralopex pulchra (amended version of 2017 assessment). The IUCN Red List of Threatened Species 2018: e.T18658A128950188. Accessed on 24 June 2026.",Pteralopex pulchra,Montane Monkey-faced Bat,CR,Decreasing,0-50,,,species,,[],MAMMALIA,MAMMALS,CR,Mammals,True,False,CR,160.02247137222386,-9.68979381633451,range_polygon,1,1,1,1,1,200,1.0,4,Possibly Extinct,1,Resident,18658,self,624.9374376314234,624.9374376314234,624.9374376314234,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2009,,,IUCN (International Union for Conservation of Nature) 2009. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18658,self,Montane_monkey-faced_bat,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Montane_monkey-faced_bat,https://www.wikidata.org/entity/Q767430,,3102
18703,22245307,2016-02-04T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/18703/22245307,"Clayton, E. 2016. Pteromyscus pulverulentus. The IUCN Red List of Threatened Species 2016: e.T18703A22245307. Accessed on 24 June 2026.",Pteromyscus pulverulentus,Smoky Flying Squirrel,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,100.35762226507228,0.7592577331690034,range_polygon,1,2,5,2,4,200,0.6459543577245109,1,Extant,1,Resident,18703,self,393654.6064685597,254282.9084866936,254282.9084866936,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18703,self,Smoky_flying_squirrel,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Smoky_flying_squirrel,https://www.wikidata.org/entity/Q1768659,https://commons.wikimedia.org/wiki/Special:FilePath/SciuropterusPulverulentusWolf.jpg,979
18703,22245307,2016-02-04T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/18703/22245307,"Clayton, E. 2016. Pteromyscus pulverulentus. The IUCN Red List of Threatened Species 2016: e.T18703A22245307. Accessed on 24 June 2026.",Pteromyscus pulverulentus,Smoky Flying Squirrel,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,113.93273772963418,3.257240537012942,range_polygon,2,2,5,2,1,200,0.354045642275489,1,Extant,1,Resident,18703,self,393654.6064685597,139371.6979818661,139371.6979818661,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18703,self,Smoky_flying_squirrel,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Smoky_flying_squirrel,https://www.wikidata.org/entity/Q1768659,https://commons.wikimedia.org/wiki/Special:FilePath/SciuropterusPulverulentusWolf.jpg,979
18711,244867206,2020-03-07T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/18711/244867206,"Groenendijk, J., Leuchtenberger, C., Marmontel, M., Van Damme, P.A., Wallace, R. & Schenck, C. 2023. Pteronura brasiliensis (amended version of 2022 assessment). The IUCN Red List of Threatened Species 2023: e.T18711A244867206. Accessed on 24 June 2026.",Pteronura brasiliensis,Giant Otter,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-62.12040621431885,-5.98793325882545,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,18711,self,6629843.84853393,6629843.84853393,6629843.84853393,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2015,,,IUCN (International Union for Conservation of Nature) 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18711,self,Giant_otter,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Giant_otter,https://www.wikidata.org/entity/Q83774,https://commons.wikimedia.org/wiki/Special:FilePath/Giantotter.jpg,180441
18714,22079192,2019-07-24T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/18714/22079192,"Waldien, D.L. & Bunbury, N. 2020. Pteropus aldabrensis. The IUCN Red List of Threatened Species 2020: e.T18714A22079192. Accessed on 24 June 2026.",Pteropus aldabrensis,Aldabra Flying-fox,EN,Stable,200-250,100-156,374,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,46.36025565604686,-9.379059090501638,range_polygon,1,1,9,1,9,200,1.0,1,Extant,1,Resident,18714,self,125.93320350749538,125.93320350749538,125.93320350749538,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2020,,,IUCN (International Union for Conservation of Nature) 2020. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18714,self,Aldabra_flying_fox,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Aldabra_flying_fox,https://www.wikidata.org/entity/Q1770363,https://commons.wikimedia.org/wiki/Special:FilePath/Aldabra%20flying%20fox%20318252.jpg,1383
18716,22079958,2019-07-13T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/18716/22079958,"Leary, T. & Helgen, K. 2020. Pteropus anetianus. The IUCN Red List of Threatened Species 2020: e.T18716A22079958. Accessed on 24 June 2026.",Pteropus anetianus,Vanuatu Flying Fox,VU,Decreasing,,,79697,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,168.35948042970074,-17.673947486137926,range_polygon,1,1,22,1,22,200,1.0,1,Extant,1,Resident,18716,self,11262.274488335086,11262.274488335086,11262.274488335086,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2020,,,IUCN (International Union for Conservation of Nature) 2020. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18716,self,Vanuatu_flying_fox,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Vanuatu_flying_fox,https://www.wikidata.org/entity/Q558840,https://commons.wikimedia.org/wiki/Special:FilePath/Pteropus%20anetianus.jpg,1091
18719,22079034,2016-01-18T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/18719/22079034,"Tsang, S.M. 2016. Pteropus caniceps. The IUCN Red List of Threatened Species 2016: e.T18719A22079034. Accessed on 24 June 2026.",Pteropus caniceps,North Moluccan Flying Fox,VU,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,128.01349147856243,0.8949437612603812,range_polygon,1,1,6,1,6,200,1.0,1,Extant,1,Resident,18719,self,22440.070414919865,22440.070414919865,22440.070414919865,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2016,,,IUCN (International Union for Conservation of Nature) 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .,18719,self,Ashy-headed_flying_fox,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Ashy-headed_flying_fox,https://www.wikidata.org/entity/Q1761368,https://commons.wikimedia.org/wiki/Special:FilePath/Pteropus%20caniceps.jpg,537
