taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit
11622,115567059,2018-05-07T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/11622/115567059,"Louis Jr, E.E., Bailey, C.A., Frasier, C.L., Sefczek, T.M., Raharivololona, B., Schwitzer, C., Ratsimbazafy, J., Wilmet, L., Andriajaona, A., Rasoamazava, L., Rakotomalala, V.F. & Dinsmore, M. 2020. Lepilemur septentrionalis. The IUCN Red List of Threatened Species 2020: e.T11622A115567059. Accessed on 24 June 2026.",Lepilemur septentrionalis,Sahafary Sportive Lemur,CR,Decreasing,40,12-192,258,species,,[],MAMMALIA,MAMMALS,CR,Mammals,True,False,CR,49.508110209711504,-12.541624229757797,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,11622,self,137.1991811257588,137.1991811257588,137.1991811257588,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2020,,,IUCN (International Union for Conservation of Nature) 2020. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
11634,274959823,2024-06-16T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/11634/274959823,"Burbidge, A.A. & Woinarski, J.C.Z. 2025. Leporillus conditor (amended version of 2024 assessment). The IUCN Red List of Threatened Species 2025: e.T11634A274959823. Accessed on 24 June 2026.",Leporillus conditor,Greater Stick-nest Rat,NT,Unknown,2800-3600,52,246000,species,,[],MAMMALIA,MAMMALS,NT,Mammals,True,False,NT,133.58391362994774,-32.27794448924648,range_polygon,1,1,5,2,4,200,0.9749961381922928,1,Extant,1,Resident,11634,self,53.64525467858425,52.30391614396167,52.30391614396167,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2024,,,IUCN (International Union for Conservation of Nature) 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
11697,22126172,2015-02-21T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/11697/22126172,"Medellín, R. 2016. Leptonycteris nivalis. The IUCN Red List of Threatened Species 2016: e.T11697A22126172. Accessed on 24 June 2026.",Leptonycteris nivalis,Greater Long-nosed Bat,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-100.46085485070196,21.669714093158145,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,11697,self,950016.0159133575,950016.0159133575,950016.0159133575,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
11699,22126917,2015-03-23T00:00:00.000+00:00,2015,https://www.iucnredlist.org/species/11699/22126917,"Nassar, J. 2015. Leptonycteris curasoae. The IUCN Red List of Threatened Species 2015: e.T11699A22126917. Accessed on 24 June 2026.",Leptonycteris curasoae,Curaçaoan Long-nosed Bat,VU,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,-70.54105782325801,8.037879006345628,range_polygon,1,1,5,1,5,200,1.0,1,Extant,1,Resident,11699,self,841467.3338527682,841467.3338527682,841467.3338527682,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
11790,45176906,2018-08-01T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/11790/45176906,"Lorenzo, C. & Smith, A.T. 2019. Lepus flavigularis. The IUCN Red List of Threatened Species 2019: e.T11790A45176906. Accessed on 24 June 2026.",Lepus flavigularis,Tehuantepec Jackrabbit,EN,Decreasing,292,93,769,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-94.61818606541247,16.366280240072104,range_polygon,1,1,4,1,4,200,1.0,1,Extant,1,Resident,11790,self,83.55303748237367,83.55303748237367,83.55303748237367,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2019,,,IUCN (International Union for Conservation of Nature) 2019. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
11792,45177499,2018-07-01T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/11792/45177499,"Brown, D.E. & Smith, A.T. 2019. Lepus callotis. The IUCN Red List of Threatened Species 2019: e.T11792A45177499. Accessed on 24 June 2026.",Lepus callotis,White-sided Jackrabbit,VU,Decreasing,,,734334,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,-101.74932522845967,21.24052323710602,range_polygon,1,1,4,1,4,200,1.0,1,Extant,1,Resident,11792,self,378322.56601812545,378322.56601812545,378322.56601812545,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2019,,,IUCN (International Union for Conservation of Nature) 2019. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
11793,45177783,2016-07-21T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/11793/45177783,"Smith, A.T. & Johnston, C. 2016. Lepus hainanus. The IUCN Red List of Threatened Species 2016: e.T11793A45177783. Accessed on 24 June 2026.",Lepus hainanus,Hainan Hare,EN,Decreasing,,,744,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,108.92123418278064,19.245796018980084,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,11793,self,572.3850613288782,572.3850613288782,572.3850613288782,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2016,,,IUCN (International Union for Conservation of Nature) 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
11794,45177986,2018-08-01T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/11794/45177986,"Lorenzo, C. & Johnston, C.H. 2019. Lepus insularis. The IUCN Red List of Threatened Species 2019: e.T11794A45177986. Accessed on 24 June 2026.",Lepus insularis,Black Jackrabbit,VU,Stable,923,96.26,140,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,-110.34764515995414,24.486068565813724,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,11794,self,102.7551248325114,102.7551248325114,102.7551248325114,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2019,,,IUCN (International Union for Conservation of Nature) 2019. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
11796,115103994,2016-07-21T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/11796/115103994,"Smith, A.T. & Johnston, C.H. 2016. Lepus yarkandensis (errata version published in 2017). The IUCN Red List of Threatened Species 2016: e.T11796A115103994. Accessed on 24 June 2026.",Lepus yarkandensis,Yarkand Hare,NT,Decreasing,,,767239,species,,[],MAMMALIA,MAMMALS,NT,Mammals,True,False,NT,82.64590862746985,39.15311277990416,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,11796,self,581043.7679907269,581043.7679907269,581043.7679907269,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
11797,217856925,2023-03-25T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/11797/217856925,"Hackländer, K. 2025. Lepus castroviejoi. The IUCN Red List of Threatened Species 2025: e.T11797A217856925. Accessed on 24 June 2026.",Lepus castroviejoi,Broom Hare,VU,Decreasing,,"380-2000,500",8437,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,-5.698159490518861,43.01588326402305,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,11797,self,4955.236580099441,4955.236580099441,4955.236580099441,,MAMMALS_PART1.shp,"European Red List, IUCN and EC",2023,,,"European Red List, IUCN and EC 2023. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on ."
