taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
1093,176771946,2014-09-11T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/1093/176771946,IUCN SSC Amphibian Specialist Group 2015. Ambystoma lermaense (errata version published in 2020). The IUCN Red List of Threatened Species 2015: e.T1093A176771946. Accessed on 21 June 2026.,Ambystoma lermaense,Lake Lerma Salamander,EN,Decreasing,,300,303.42,species,,[],AMPHIBIA,AMPHIBIANS,EN,"Other (Reptiles, Amphib., Crust.)",1093,self,True,False,EN
1095,53947343,2019-10-23T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/1095/53947343,IUCN SSC Amphibian Specialist Group 2020. Ambystoma mexicanum. The IUCN Red List of Threatened Species 2020: e.T1095A53947343. Accessed on 21 June 2026.,Ambystoma mexicanum,Axolotl,CR,Decreasing,50-1000,,467,species,,[],AMPHIBIA,AMPHIBIANS,CR,"Other (Reptiles, Amphib., Crust.)",1095,self,True,False,CR
1098,118971391,2021-04-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/1098/118971391,IUCN SSC Amphibian Specialist Group 2022. Ambystoma californiense. The IUCN Red List of Threatened Species 2022: e.T1098A118971391. Accessed on 21 June 2026.,Ambystoma californiense,California Tiger Salamander,VU,Decreasing,,,,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",1098,self,True,False,VU
1099,118971595,2021-06-02T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/1099/118971595,IUCN SSC Amphibian Specialist Group 2022. Ambystoma cingulatum. The IUCN Red List of Threatened Species 2022: e.T1099A118971595. Accessed on 21 June 2026.,Ambystoma cingulatum,Frosted Flatwoods Salamander,EN,Decreasing,,,,species,,[],AMPHIBIA,AMPHIBIANS,EN,"Other (Reptiles, Amphib., Crust.)",1099,self,True,False,EN
1118,121643349,2015-07-23T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/1118/121643349,"Platenberg, R. 2017. Pholidoscelis polops (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2017: e.T1118A121643349. Accessed on 21 June 2026.",Pholidoscelis polops,St. Croix Ameiva,EN,Unknown,,16,,species,,[],REPTILIA,REPTILES,EN,"Other (Reptiles, Amphib., Crust.)",1118,self,True,False,EN
1273,177177761,2021-04-06T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/1273/177177761,IUCN SSC Amphibian Specialist Group 2022. Andrias japonicus. The IUCN Red List of Threatened Species 2022: e.T1273A177177761. Accessed on 21 June 2026.,Andrias japonicus,Japanese Giant Salamander,VU,Decreasing,,5140,148291,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",1273,self,True,False,VU
1301,247845297,2024-04-09T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/1301/247845297,"Conradie, W., Armstrong, A.J., Jordaan, A., Lynch, K. & Verburgt, L. 2025. Anhydrophryne rattrayi. The IUCN Red List of Threatened Species 2025: e.T1301A247845297. Accessed on 21 June 2026.",Anhydrophryne rattrayi,Rattray's Chirping Frog,EN,Decreasing,,1588,2019,species,,[],AMPHIBIA,AMPHIBIANS,EN,"Other (Reptiles, Amphib., Crust.)",1301,self,True,False,EN
1319,18967413,2015-07-22T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/1319/18967413,"Platenberg, R., de Queiroz, K. & Mahler, D.L. 2020. Anolis roosevelti. The IUCN Red List of Threatened Species 2020: e.T1319A18967413. Accessed on 21 June 2026.",Anolis roosevelti,Culebra Giant Anole,CR,Unknown,0-50,,,species,,[],REPTILIA,REPTILES,CR,"Other (Reptiles, Amphib., Crust.)",1319,self,True,False,CR
1920,79026130,2017-06-13T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/1920/79026130,"Clemann, N. & Robertson, P. 2017. Aprasia aurita. The IUCN Red List of Threatened Species 2017: e.T1920A79026130. Accessed on 21 June 2026.",Aprasia aurita,Eared Worm-lizard,NT,Stable,,500,72100,species,,[],REPTILIA,REPTILES,NT,"Other (Reptiles, Amphib., Crust.)",1920,self,True,False,NT
2119,13322361,2015-12-18T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/2119/13322361,IUCN SSC Amphibian Specialist Group 2016. Arthroleptides dutoiti. The IUCN Red List of Threatened Species 2016: e.T2119A13322361. Accessed on 21 June 2026.,Arthroleptides dutoiti,Du Toit's Torrent Frog,CR,Decreasing,249,,973,species,,[],AMPHIBIA,AMPHIBIANS,CR,"Other (Reptiles, Amphib., Crust.)",2119,self,True,False,CR
2173,2778172,2018-03-12T00:00:00.000+00:00,2021,https://www.iucnredlist.org/species/2173/2778172,"Praschag, P., Ahmed, M.F. & Singh, S. 2021. Nilssonia nigricans. The IUCN Red List of Threatened Species 2021: e.T2173A2778172. Accessed on 21 June 2026.",Nilssonia nigricans,Black Softshell Turtle,CR,Decreasing,,,,species,,[],REPTILIA,REPTILES,CR,"Other (Reptiles, Amphib., Crust.)",2173,self,True,False,CR
