taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
81,137327979,2024-03-24T00:00:00.000+00:00,2024,https://www.iucnredlist.org/species/81/137327979,"Ford, M. 2024. Salmo ohridanus. The IUCN Red List of Threatened Species 2024: e.T81A137327979. Accessed on 19 June 2026.",Salmo ohridanus,Ohrid Belvica,EN,Unknown,,360,386,species,,[],ACTINOPTERYGII,SALMONIDS,EN,Fishes (not comprehensive),81,self,True,False,EN
222,97439806,2016-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/222/97439806,"Bolden, S.K. & Fox, D. 2022. Acipenser brevirostrum. The IUCN Red List of Threatened Species 2022: e.T222A97439806. Accessed on 19 June 2026.",Acipenser brevirostrum,Shortnose Sturgeon,VU,Stable,100000,6500,800000,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,VU,Fishes (not comprehensive),222,self,True,False,VU
223,58134229,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/223/58134229,"Haxton, T. & Bruch, R. 2022. Acipenser fulvescens. The IUCN Red List of Threatened Species 2022: e.T223A58134229. Accessed on 19 June 2026.",Acipenser fulvescens,Lake Sturgeon,EN,Unknown,140000,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,EN,Fishes (not comprehensive),223,self,True,False,EN
224,135061929,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/224/135061929,"Bronzi, P., Congiu, L. & Freyhof, J. 2022. Acipenser naccarii. The IUCN Red List of Threatened Species 2022: e.T224A135061929. Accessed on 19 June 2026.",Acipenser naccarii,Adriatic Sturgeon,CR,Increasing,50-100,2600,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),224,self,True,False,CR
225,227579266,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/225/227579266,"Freyhof, J., Chebanov, M. & Pourkazemi, M. 2022. Acipenser nudiventris (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T225A227579266. Accessed on 19 June 2026.",Acipenser nudiventris,Ship Sturgeon,CR,Decreasing,100,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),225,self,True,False,CR
227,135062526,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/227/135062526,"Gessner, J., Freyhof, J., Kottelat, M. & Friedrich, T. 2022. Acipenser ruthenus. The IUCN Red List of Threatened Species 2022: e.T227A135062526. Accessed on 19 June 2026.",Acipenser ruthenus,Sterlet,EN,Decreasing,,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,EN,Fishes (not comprehensive),227,self,True,False,EN
228,227579879,2019-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/228/227579879,"Qiwei, W. & Mugue, N. 2022. Acipenser schrenckii (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T228A227579879. Accessed on 19 June 2026.",Acipenser schrenckii,Amur Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),228,self,True,False,CR
229,135062806,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/229/135062806,"Mugue, N., Friedrich, T., Chebanov, M. & Ruban, G. 2022. Acipenser stellatus. The IUCN Red List of Threatened Species 2022: e.T229A135062806. Accessed on 19 June 2026.",Acipenser stellatus,Stellate Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),229,self,True,False,CR
230,242530547,2020-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/230/242530547,"Gessner, J., Williot, P., Rochard, E., Freyhof, J. & Kottelat, M. 2022. Acipenser sturio (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T230A242530547. Accessed on 19 June 2026.",Acipenser sturio,European Sturgeon,CR,Decreasing,20-750,520,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),230,self,True,False,CR
231,61462199,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/231/61462199,"Qiwei, W. 2022. Acipenser dabryanus. The IUCN Red List of Threatened Species 2022: e.T231A61462199. Accessed on 19 June 2026.",Acipenser dabryanus,Yangtze Sturgeon,EW,,0,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,EW,Fishes (not comprehensive),231,self,True,False,EW
232,135063140,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/232/135063140,"Gessner, J., Freyhof, J. & Kottelat, M. 2022. Acipenser gueldenstaedtii. The IUCN Red List of Threatened Species 2022: e.T232A135063140. Accessed on 19 June 2026.",Acipenser gueldenstaedtii,Russian Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),232,self,True,False,CR
