taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit,wiki_lookup_taxonid,wiki_lookup_source,wiki_title,wiki_language,wiki_project,wiki_url,wikidata_url,wikidata_image_url
192284,2065628,2011-10-28T01:00:00.000+01:00,2013,https://www.iucnredlist.org/species/192284/2065628,"Tenorio, M.J. 2013. Conus luquei. The IUCN Red List of Threatened Species 2013: e.T192284A2065628. Accessed on 26 June 2026.",Conus luquei,,NT,Stable,,8,8,species,,[],GASTROPODA,CONE_SNAILS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,-22.69891667846272,16.18479103663087,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,192284,self,7.680932302577555,7.680932302577555,7.680932302577555,,CONE_SNAILS.shp,"Conch Books Hackenheim, Germany",2012,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"Conch Books Hackenheim, Germany 2012. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.",192284,self,Conus_luquei,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Conus_luquei,https://www.wikidata.org/entity/Q1608673,https://commons.wikimedia.org/wiki/Special:FilePath/Conus%20luquei%201.jpg
192301,251058382,2023-12-12T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/192301/251058382,"Lorenz, F. & Morrison, H. 2025. Conus papuensis. The IUCN Red List of Threatened Species 2025: e.T192301A251058382. Accessed on 26 June 2026.",Conus papuensis,,VU,Decreasing,,1828,22032,species,,[],GASTROPODA,CONE_SNAILS,VU,"Crustaceans, Molluscs (not comprehensive)",True,False,VU,145.25135448893622,-4.376822596004033,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,192301,self,4382.79671434128,4382.79671434128,4382.79671434128,,CONE_SNAILS.shp,Senckenberg Ocean Species Alliance,2023,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,Senckenberg Ocean Species Alliance 2023. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,192301,self,Conus_papuensis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Conus_papuensis,https://www.wikidata.org/entity/Q1608833,https://commons.wikimedia.org/wiki/Special:FilePath/Conus%20papuensis%201.jpg
192314,2071407,2011-10-28T01:00:00.000+01:00,2013,https://www.iucnredlist.org/species/192314/2071407,"Veldsman, S.G. 2013. Profundiconus jeanmartini. The IUCN Red List of Threatened Species 2013: e.T192314A2071407. Accessed on 26 June 2026.",Profundiconus jeanmartini,,VU,Unknown,,28,28,species,,[],GASTROPODA,CONE_SNAILS,VU,"Crustaceans, Molluscs (not comprehensive)",True,False,VU,54.90169510745456,-21.001143066494883,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,192314,self,17151.717637673188,17151.717637673188,17151.717637673188,,CONE_SNAILS.shp,"Conch Books, Hackenheim, Germany",2012,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"Conch Books, Hackenheim, Germany 2012. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.",192314,self,Profundiconus_jeanmartini,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Profundiconus_jeanmartini,https://www.wikidata.org/entity/Q1312144,
192343,2077593,2011-10-29T01:00:00.000+01:00,2012,https://www.iucnredlist.org/species/192343/2077593,"Monnier, E. 2012. Conus trencarti. The IUCN Red List of Threatened Species 2012: e.T192343A2077593. Accessed on 26 June 2026.",Conus trencarti,,NT,Unknown,,12,12,species,,[],GASTROPODA,CONE_SNAILS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,-17.58401850847548,14.76028065984761,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,192343,self,63.67197028263282,63.67197028263282,63.67197028263282,,CONE_SNAILS.shp,"Conch Books Hackenheim, Germany",2012,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"Conch Books Hackenheim, Germany 2012. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.",192343,self,Conus_trencarti,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Conus_trencarti,https://www.wikidata.org/entity/Q1311546,https://commons.wikimedia.org/wiki/Special:FilePath/Conus%20trencarti.jpg
192348,2078270,2011-10-27T01:00:00.000+01:00,2012,https://www.iucnredlist.org/species/192348/2078270,"Tenorio, M.J. 2012. Conus curralensis. The IUCN Red List of Threatened Species 2012: e.T192348A2078270. Accessed on 26 June 2026.",Conus curralensis,,NT,Stable,,18,18,species,,[],GASTROPODA,CONE_SNAILS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,-24.785416199922835,16.7432688112148,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,192348,self,28.861464384450738,28.861464384450738,28.861464384450738,,CONE_SNAILS.shp,"Conch Books Hackenheim, Germany",2012,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"Conch Books Hackenheim, Germany 2012. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.",192348,self,Conus_curralensis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Conus_curralensis,https://www.wikidata.org/entity/Q1312104,https://commons.wikimedia.org/wiki/Special:FilePath/Conus%20curralensis%201.jpg
192349,2078374,2011-10-27T01:00:00.000+01:00,2013,https://www.iucnredlist.org/species/192349/2078374,"Peters, H. 2013. Conus terryni. The IUCN Red List of Threatened Species 2013: e.T192349A2078374. Accessed on 26 June 2026.",Conus terryni,,NT,Unknown,,30,1185,species,,[],GASTROPODA,CONE_SNAILS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,123.29046845164945,8.889350526059282,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,192349,self,1368.6070561854424,1368.6070561854424,1368.6070561854424,,CONE_SNAILS.shp,"Conch Books, Hackenheim, Germany",2012,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"Conch Books, Hackenheim, Germany 2012. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.",192349,self,Conus_terryni,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Conus_terryni,https://www.wikidata.org/entity/Q1608864,https://commons.wikimedia.org/wiki/Special:FilePath/Seashell%20Conus%20terryni.jpg
192354,250221686,2023-12-12T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/192354/250221686,"Tenorio, M.J. & Limpalaër, L. 2025. Conus kersteni. The IUCN Red List of Threatened Species 2025: e.T192354A250221686. Accessed on 26 June 2026.",Conus kersteni,,NT,Stable,,112,435,species,,[],GASTROPODA,CONE_SNAILS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,-24.108118560687547,16.546546919435237,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,192354,self,19.90593847204643,19.90593847204643,19.90593847204643,,CONE_SNAILS.shp,Senckenberg Ocean Species Alliance,2023,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,Senckenberg Ocean Species Alliance 2023. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,192354,self,Conus_kersteni,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Conus_kersteni,https://www.wikidata.org/entity/Q1608778,https://commons.wikimedia.org/wiki/Special:FilePath/Conus%20kersteni%201.jpg
192368,2081737,2011-10-27T01:00:00.000+01:00,2013,https://www.iucnredlist.org/species/192368/2081737,"Tenorio, M.J. 2013. Conus evorai. The IUCN Red List of Threatened Species 2013: e.T192368A2081737. Accessed on 26 June 2026.",Conus evorai,,NT,Stable,,16,,species,,[],GASTROPODA,CONE_SNAILS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,-22.95127745900853,16.141377810565288,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,192368,self,12.488527563397144,12.488527563397144,12.488527563397144,,CONE_SNAILS.shp,"Conch Books Hackenheim, Germany",2012,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"Conch Books Hackenheim, Germany 2012. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.",192368,self,Conus_evorai,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Conus_evorai,https://www.wikidata.org/entity/Q1313041,https://commons.wikimedia.org/wiki/Special:FilePath/Conus%20evorai%201.jpg
192369,251070519,2023-12-11T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/192369/251070519,"Morrison, H. & Lorenz, F. 2025. Conasprella stocki. The IUCN Red List of Threatened Species 2025: e.T192369A251070519. Accessed on 26 June 2026.",Conasprella stocki,,NT,Decreasing,,3136,273113,species,,[],GASTROPODA,CONE_SNAILS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,66.7243156466815,24.80957315981032,range_polygon,1,1,3,2,1,200,0.9314149818819032,1,Extant,1,Resident,192369,self,12797.664378516389,11919.93633524652,11919.93633524652,,CONE_SNAILS.shp,Senckenberg Ocean Species Alliance,2023,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,Senckenberg Ocean Species Alliance 2023. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,192369,self,Conasprella_stocki,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Conasprella_stocki,https://www.wikidata.org/entity/Q1312429,https://commons.wikimedia.org/wiki/Special:FilePath/Conus%20stocki%201.jpg
192403,2088649,2011-10-26T01:00:00.000+01:00,2012,https://www.iucnredlist.org/species/192403/2088649,"Tenorio, M.J. 2012. Conus cuneolus. The IUCN Red List of Threatened Species 2012: e.T192403A2088649. Accessed on 26 June 2026.",Conus cuneolus,,EN,Decreasing,,60,60,species,,[],GASTROPODA,CONE_SNAILS,EN,"Crustaceans, Molluscs (not comprehensive)",True,False,EN,-22.9824625144134,16.617042606988566,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,192403,self,163.94706812088967,163.94706812088967,163.94706812088967,,CONE_SNAILS.shp,"Conch Books Hackenheim, Germany",2012,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"Conch Books Hackenheim, Germany 2012. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.",192403,self,Conus_cuneolus,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Conus_cuneolus,https://www.wikidata.org/entity/Q1883520,https://commons.wikimedia.org/wiki/Special:FilePath/Conus%20cuneolus%201.jpg
