taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
241148222,spatial_join,no spatial geometry in clean file,Eugnathogobius stictos,,EN,Fishes (not comprehensive)
241148232,spatial_join,no spatial geometry in clean file,Eucyclogobius kristinae,Southern Tidewater Goby,CR,Fishes (not comprehensive)
70680908,spatial_join,no spatial geometry in clean file,Carcharhinus tjutjot,Indonesian Whaler Shark,VU,Fishes (not comprehensive)
46084436,spatial_join,no spatial geometry in clean file,Gobiodon reticulatus,Reticulate Goby,VU,Fishes (not comprehensive)
241148253,spatial_join,no spatial geometry in clean file,Egglestonichthys ulbubunitj,,EN,Fishes (not comprehensive)
46104933,spatial_join,no spatial geometry in clean file,Cynoscion regalis,Common Weakfish,EN,Fishes (not comprehensive)
126710128,spatial_join,no spatial geometry in clean file,Mobula hypostoma,Atlantic Pygmy Devil Ray,EN,Fishes (not comprehensive)
211714426,spatial_join,no spatial geometry in clean file,Squalus shiraii,Shirai’s Spurdog,VU,Fishes (not comprehensive)
181244306,spatial_join,no spatial geometry in clean file,Hypanus berthalutzae,Lutz's Stingray,VU,Fishes (not comprehensive)
169234837,spatial_join,no spatial geometry in clean file,Platyrhina hyugaensis,Hyuga Fanray,VU,Fishes (not comprehensive)
135579,spatial_join,no spatial geometry in clean file,Chelon auratus,Golden Grey Mullet,NT,Fishes (not comprehensive)
197019,spatial_join,no spatial geometry in clean file,Notarius neogranatensis,Caribbean Sculptured Sea Catfish,VU,Fishes (not comprehensive)
261546408,spatial_join,no spatial geometry in clean file,Pempheris gasparinii,Trindade Sweeper,CR,Fishes (not comprehensive)
49217962,spatial_join,no spatial geometry in clean file,Pseudotolithus senegallus,Law Croaker,VU,Fishes (not comprehensive)
69738927,spatial_join,no spatial geometry in clean file,Siganus uspi,Bicolored Foxface,NT,Fishes (not comprehensive)
135606,spatial_join,no spatial geometry in clean file,Dicentrarchus labrax,European Sea Bass,NT,Fishes (not comprehensive)
