taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
90997858,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Barbonymus platysoma,,CR,"Fish (sharks, freshwater)"
186979,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Psalidodon ita,Mojarra,EN,"Fish (sharks, freshwater)"
91107434,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Homalopterula heterolepis,,NT,"Fish (sharks, freshwater)"
176512622,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Argolebias nigripinnis,Pez anual,NT,"Fish (sharks, freshwater)"
176514159,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Acantholebias quirogai,Pez anual,EN,"Fish (sharks, freshwater)"
91212399,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ompok taytayensis,,EN,"Fish (sharks, freshwater)"
107626097,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Galaxias sp. nov. 'Goukou',,VU,"Fish (sharks, freshwater)"
90980978,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Xenopoecilus bonneorum,,EN,"Fish (sharks, freshwater)"
117850739,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Tropheops kumwera,,NT,"Fish (sharks, freshwater)"
151806574,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius foutensis,,EN,"Fish (sharks, freshwater)"
186990,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Garcialebias nachtigalli,Peixe-anual,VU,"Fish (sharks, freshwater)"
214511230,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cobitis brevipinna,,EN,"Fish (sharks, freshwater)"
182403,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius subinensis,,EN,"Fish (sharks, freshwater)"
64882819,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Coptodon fusiforme,,CR,"Fish (sharks, freshwater)"
131471491,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Nothobranchius mkuziensis,,CR,"Fish (sharks, freshwater)"
178303623,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cypholebias cinereus,Pez anual,EN,"Fish (sharks, freshwater)"
205786762,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Altigena discognathoides,,CR,"Fish (sharks, freshwater)"
212785291,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Folifer hainanensis,,CR,"Fish (sharks, freshwater)"
214511249,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cobitis fimbriata,,EN,"Fish (sharks, freshwater)"
136895122,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hypsolebias multiradiatus,Peixe-anual,EN,"Fish (sharks, freshwater)"
186517,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Leptopanchax citrinipinnis,Peixe-anual,CR,"Fish (sharks, freshwater)"
107626648,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Galaxias sp. nov. 'Klein',,EN,"Fish (sharks, freshwater)"
123321496,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Melanotaenia sp. nov. 'Running River',,CR,"Fish (sharks, freshwater)"
143137944,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Leiocassis bekantan,,NT,"Fish (sharks, freshwater)"
182939,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius stauchi,,EN,"Fish (sharks, freshwater)"
158619800,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Nothobranchius derhami,,EN,"Fish (sharks, freshwater)"
151806109,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Amphilius sp. nov. 'Little Scarcies drainage',,EN,"Fish (sharks, freshwater)"
187039,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Matilebias cyaneus,Peixe-anual,EN,"Fish (sharks, freshwater)"
190552225,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cyphocharax muyrakytan,,EN,"Fish (sharks, freshwater)"
186531,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Garcialebias reicherti,Pez anual,EN,"Fish (sharks, freshwater)"
173823654,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Anablepsoides luitalimae,,EN,"Fish (sharks, freshwater)"
173831846,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Harttia panara,,EN,"Fish (sharks, freshwater)"
181929,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Labeobarbus gruveli,,VU,"Fish (sharks, freshwater)"
212911273,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Triplophysa lingyunensis,,VU,"Fish (sharks, freshwater)"
57484459,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima glaucos,,NT,"Fish (sharks, freshwater)"
158619819,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Nothobranchius kwalensis,,EN,"Fish (sharks, freshwater)"
176406187,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Psalidodon chico,,VU,"Fish (sharks, freshwater)"
217305262,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Spinibarbichthys yunnanensis,,EN,"Fish (sharks, freshwater)"
187050,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cambeva mboycy,Candiru,EN,"Fish (sharks, freshwater)"
212910770,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Karstsinnectes acridorsalis,,CR,"Fish (sharks, freshwater)"
176091316,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Chrysobrycon guahibo,,VU,"Fish (sharks, freshwater)"
178064052,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Orestias rotundipinnis,,VU,"Fish (sharks, freshwater)"
182972,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius aliciae,,VU,"Fish (sharks, freshwater)"
187069,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Gymnolebias gymnoventris,Pez anual,EN,"Fish (sharks, freshwater)"
128727229,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Tariqilabeo macmahoni,,VU,"Fish (sharks, freshwater)"
176216766,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Paralithoxus boujardi,,NT,"Fish (sharks, freshwater)"
151806140,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Amphilius sp. nov. 'Niger River drainage',,EN,"Fish (sharks, freshwater)"
176511681,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Titanolebias elongatus,Pez anual,EN,"Fish (sharks, freshwater)"
182466,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius anniae,,EN,"Fish (sharks, freshwater)"
173832388,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hypsolebias splendissimus,,CR,"Fish (sharks, freshwater)"
109421254,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Pseudobarbus sp. nov. 'keiskamma',,EN,"Fish (sharks, freshwater)"
