taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit,wiki_lookup_taxonid,wiki_lookup_source,wiki_title,wiki_language,wiki_project,wiki_url,wikidata_url,wikidata_image_url,popularity
19896,177143139,2012-08-21T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/19896/177143139,"Collette, B., Aiken, K.A. & Polanco Fernandez, A. 2020. Sanopus astrifer (amended version of 2015 assessment). The IUCN Red List of Threatened Species 2020: e.T19896A177143139. Accessed on 29 June 2026.",Sanopus astrifer,Whitespotted Toadfish,VU,Unknown,,700,11218,species,,[],ACTINOPTERYGII,MARINEFISH,VU,Fishes (not comprehensive),True,False,VU,-87.84595884800761,17.147343071012838,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,19896,self,15778.093101981636,15778.093101981636,15778.093101981636,,MARINEFISH_PART4.shp,International Union for Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,19896,self,Whitespotted_toadfish,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Whitespotted_toadfish,https://www.wikidata.org/entity/Q2333753,https://commons.wikimedia.org/wiki/Special:FilePath/Sanopus%20astrifer%20129999271.jpg,261
19897,16643885,2012-08-21T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/19897/16643885,"Aiken, K.A., Collette, B. & Polanco Fernandez, A. 2015. Sanopus greenfieldorum. The IUCN Red List of Threatened Species 2015: e.T19897A16643885. Accessed on 29 June 2026.",Sanopus greenfieldorum,Whitelined Toadfish,VU,Unknown,,705,10484,species,,[],ACTINOPTERYGII,MARINEFISH,VU,Fishes (not comprehensive),True,False,VU,-87.88040870381354,17.004023995544554,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,19897,self,14000.15381020155,14000.15381020155,14000.15381020155,,MARINEFISH_PART6.shp,International Union for Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,19897,self,Whitelined_toadfish,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Whitelined_toadfish,https://www.wikidata.org/entity/Q1834317,,252
19898,2547481,2014-01-09T00:00:00.000+00:00,2015,https://www.iucnredlist.org/species/19898/2547481,"Collette, B.B., Robertson, R., Tornabene, L., Chakrabarty, P., Grubbs, D., Simons, J., Brenner, J., Caruso, J., McEachran, J.D., Pezold, F., Carlson, J., Espinosa-Perez, H. & Vega-Cendejas, M. 2015. Sanopus reticulatus. The IUCN Red List of Threatened Species 2015: e.T19898A2547481. Accessed on 29 June 2026.",Sanopus reticulatus,Reticulated Toadfish,EN,Unknown,,,4386,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),True,False,EN,-90.08164584743392,21.338319822826076,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,19898,self,3764.423064256133,3764.423064256133,3764.423064256133,,MARINEFISH_PART1.shp,International Union for Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,19898,self,Reticulated_toadfish,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Reticulated_toadfish,https://www.wikidata.org/entity/Q3313011,,190
19899,16643913,2012-08-21T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/19899/16643913,"Collette, B., Aiken, K.A. & Polanco Fernandez, A. 2015. Sanopus splendidus. The IUCN Red List of Threatened Species 2015: e.T19899A16643913. Accessed on 29 June 2026.",Sanopus splendidus,Splendid Toadfish,EN,Unknown,,109,9552,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),True,False,EN,-87.78329896347017,16.795417569861492,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,19899,self,3730.0272393055,3730.0272393055,3730.0272393055,,MARINEFISH_PART4.shp,International Union for Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,19899,self,Splendid_toadfish,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Splendid_toadfish,https://www.wikidata.org/entity/Q2261611,https://commons.wikimedia.org/wiki/Special:FilePath/Splendidtoadfish%20laban.jpg,4756
154699,238341558,2024-03-19T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/154699/238341558,"Jaafar, Z., Carpenter, K.E., Dinh Minh, Q. & Williams, J.T. 2025. Mugilogobius fasciatus. The IUCN Red List of Threatened Species 2025: e.T154699A238341558. Accessed on 29 June 2026.",Mugilogobius fasciatus,,NT,Decreasing,,2268,106946,species,,[],ACTINOPTERYGII,MARINEFISH,NT,Fishes (not comprehensive),True,False,NT,99.94334138290488,5.284444739804946,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,154699,self,85141.15170840536,85141.15170840536,85141.15170840536,,MARINEFISH_PART4.shp,IUCN Marine Biodiversity Unit,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,154699,self,Mugilogobius_fasciatus,es,es.wikipedia.org,https://es.wikipedia.org/wiki/Mugilogobius_fasciatus,https://www.wikidata.org/entity/Q2748861,,36
154700,4610380,2009-02-04T00:00:00.000+00:00,2010,https://www.iucnredlist.org/species/154700/4610380,"Fricke, R., McEachran, J. & Williams, J.T. 2010. Enneapterygius namarrgon. The IUCN Red List of Threatened Species 2010: e.T154700A4610380. Accessed on 29 June 2026.",Enneapterygius namarrgon,Lightning Man Triplefin,EN,Unknown,,,317,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),True,False,EN,137.0926016235711,-12.717698831972092,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,154700,self,172172.88912622005,172172.88912622005,172172.88912622005,,MARINEFISH_PART5.shp,International Union for Conservation of Nature,2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,154700,self,Enneapterygius_namarrgon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Enneapterygius_namarrgon,https://www.wikidata.org/entity/Q2532996,,196
154717,46921747,2015-04-20T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/154717/46921747,"Munroe, T. & Tyler, J. 2015. Anchoa choerostoma. The IUCN Red List of Threatened Species 2015: e.T154717A46921747. Accessed on 29 June 2026.",Anchoa choerostoma,Bermuda Anchovy,EN,Unknown,,220,867,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),True,False,EN,-64.77484702104927,32.32118600381693,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,154717,self,31992.44281106099,31992.44281106099,31992.44281106099,,MARINEFISH_PART7.shp,International Union for Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,154717,self,百慕達小鯷,zh,zh.wikipedia.org,https://zh.wikipedia.org/wiki/%E7%99%BE%E6%85%95%E9%81%94%E5%B0%8F%E9%AF%B7,https://www.wikidata.org/entity/Q2491856,,147
154724,115227856,2007-05-24T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/154724/115227856,"Moore, J.A., Allen, G.R. & Robertson, R.D. 2010. Myripristis clarionensis (errata version published in 2017). The IUCN Red List of Threatened Species 2010: e.T154724A115227856. Accessed on 29 June 2026.",Myripristis clarionensis,Candil Amarillo,VU,Unknown,,50,,species,,[],ACTINOPTERYGII,MARINEFISH,VU,Fishes (not comprehensive),True,False,VU,-112.62432932610136,18.661780697058425,range_polygon,1,1,2,2,1,200,0.9388138266781046,1,Extant,1,Resident,154724,self,71687.36757160342,67301.09187437687,67301.09187437687,,MARINEFISH_PART4.shp,Sampled Red List Index,2010,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,Sampled Red List Index 2010. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,154724,self,Myripristis_clarionensis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Myripristis_clarionensis,https://www.wikidata.org/entity/Q2171804,,123
154738,4622426,2009-01-27T00:00:00.000+00:00,2010,https://www.iucnredlist.org/species/154738/4622426,"Acero, A. & Fricke, R. 2010. Callionymus comptus. The IUCN Red List of Threatened Species 2010: e.T154738A4622426. Accessed on 29 June 2026.",Callionymus comptus,Ornamented Dragonet,VU,Unknown,,,1-20000,species,,[],ACTINOPTERYGII,MARINEFISH,VU,Fishes (not comprehensive),True,False,VU,-156.27910100235428,20.50660513430125,range_polygon,1,1,7,1,7,200,1.0,1,Extant,1,Resident,154738,self,12122.286125270668,12122.286125270668,12122.286125270668,,MARINEFISH_PART2.shp,International Union for Conservation of Nature (IUCN),2012,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature (IUCN) 2012. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,154738,self,Ornamented_dragonet,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Ornamented_dragonet,https://www.wikidata.org/entity/Q528544,,68
154748,115229991,2009-01-28T00:00:00.000+00:00,2010,https://www.iucnredlist.org/species/154748/115229991,"Dooley, J., Matsuura, K., Collette, B., Nelson, J., Fritzsche, R. & Carpenter, K. 2010. Lophius vomerinus (errata version published in 2017). The IUCN Red List of Threatened Species 2010: e.T154748A115229991. Accessed on 29 June 2026.",Lophius vomerinus,Cape Monk,NT,Unknown,,,,species,,[],ACTINOPTERYGII,MARINEFISH,NT,Fishes (not comprehensive),True,False,NT,15.407598724749691,-28.828536385659852,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,154748,self,283566.0670623888,283566.0670623888,283566.0670623888,,MARINEFISH_PART7.shp,Sampled Red List Index,2010,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,Sampled Red List Index 2010. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,154748,self,Lophius_vomerinus,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Lophius_vomerinus,https://www.wikidata.org/entity/Q2164688,https://commons.wikimedia.org/wiki/Special:FilePath/Lophius%20vomerinus.jpg,1616
