taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
58847,166106955,2021-04-21T01:00:00.000+01:00,2023,https://www.iucnredlist.org/species/58847/166106955,IUCN SSC Amphibian Specialist Group 2023. Raorchestes glandulosus. The IUCN Red List of Threatened Species 2023: e.T58847A166106955. Accessed on 25 June 2026.,Raorchestes glandulosus,Southern Bubble-nest Frog,VU,Decreasing,,,11659.11,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",58847,self,True,False,VU
58849,166107068,2020-10-27T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/58849/166107068,IUCN SSC Amphibian Specialist Group 2023. Raorchestes griet. The IUCN Red List of Threatened Species 2023: e.T58849A166107068. Accessed on 25 June 2026.,Raorchestes griet,Griet Bush Frog,VU,Decreasing,,,9036.10,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",58849,self,True,False,VU
58850,63900266,2015-12-11T00:00:00.000+00:00,2017,https://www.iucnredlist.org/species/58850/63900266,IUCN SSC Amphibian Specialist Group 2017. Raorchestes gryllus. The IUCN Red List of Threatened Species 2017: e.T58850A63900266. Accessed on 25 June 2026.,Raorchestes gryllus,,VU,Decreasing,,,6562,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",58850,self,True,False,VU
58855,156582620,2020-02-19T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/58855/156582620,IUCN SSC Amphibian Specialist Group 2020. Pseudophilautus hypomelas. The IUCN Red List of Threatened Species 2020: e.T58855A156582620. Accessed on 25 June 2026.,Pseudophilautus hypomelas,,EN,Decreasing,,,369.18,species,,[],AMPHIBIA,AMPHIBIANS,EN,"Other (Reptiles, Amphib., Crust.)",58855,self,True,False,EN
58856,246754898,2018-06-08T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/58856/246754898,IUCN SSC Amphibian Specialist Group 2019. Philautus ingeri (errata version published in 2023). The IUCN Red List of Threatened Species 2019: e.T58856A246754898. Accessed on 25 June 2026.,Philautus ingeri,,VU,Decreasing,,,15674.57,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",58856,self,True,False,VU
58857,114924999,2017-05-16T01:00:00.000+01:00,2018,https://www.iucnredlist.org/species/58857/114924999,IUCN SSC Amphibian Specialist Group 2018. Philautus jacobsoni. The IUCN Red List of Threatened Species 2018: e.T58857A114924999. Accessed on 25 June 2026.,Philautus jacobsoni,Jacobson's Bubble-nest Frog,CR,Decreasing,0-49,211.93,219.06,species,,[],AMPHIBIA,AMPHIBIANS,CR,"Other (Reptiles, Amphib., Crust.)",58857,self,True,False,CR
58860,166107275,2020-11-16T00:00:00.000+00:00,2022,https://www.iucnredlist.org/species/58860/166107275,IUCN SSC Amphibian Specialist Group 2022. Raorchestes kempiae. The IUCN Red List of Threatened Species 2022: e.T58860A166107275. Accessed on 25 June 2026.,Raorchestes kempiae,Tura Bubble-nest Frog,CR,Unknown,,,10,species,,[],AMPHIBIA,AMPHIBIANS,CR,"Other (Reptiles, Amphib., Crust.)",58860,self,True,False,CR
58861,114925103,2018-03-08T00:00:00.000+00:00,2019,https://www.iucnredlist.org/species/58861/114925103,IUCN SSC Amphibian Specialist Group 2019. Philautus kerangae. The IUCN Red List of Threatened Species 2019: e.T58861A114925103. Accessed on 25 June 2026.,Philautus kerangae,Kerangas Bubble-nest Frog,VU,Decreasing,,,14286.37,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",58861,self,True,False,VU
58866,156582876,2020-02-18T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/58866/156582876,IUCN SSC Amphibian Specialist Group  2020. Pseudophilautus lunatus. The IUCN Red List of Threatened Species 2020: e.T58866A156582876. Accessed on 25 June 2026.,Pseudophilautus lunatus,,CR,Decreasing,,,26.94,species,,[],AMPHIBIA,AMPHIBIANS,CR,"Other (Reptiles, Amphib., Crust.)",58866,self,True,False,CR
58868,195402738,2021-01-29T00:00:00.000+00:00,2022,https://www.iucnredlist.org/species/58868/195402738,IUCN SSC Amphibian Specialist Group 2022. Pseudophilautus macropus. The IUCN Red List of Threatened Species 2022: e.T58868A195402738. Accessed on 25 June 2026.,Pseudophilautus macropus,Bigfoot Shrub Frog,EN,Decreasing,,,1307.27,species,,[],AMPHIBIA,AMPHIBIANS,EN,"Other (Reptiles, Amphib., Crust.)",58868,self,True,False,EN
