taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit,wiki_lookup_taxonid,wiki_lookup_source,wiki_title,wiki_language,wiki_project,wiki_url,wikidata_url,wikidata_image_url
231,61462199,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/231/61462199,"Qiwei, W. 2022. Acipenser dabryanus. The IUCN Red List of Threatened Species 2022: e.T231A61462199. Accessed on 19 June 2026.",Acipenser dabryanus,Yangtze Sturgeon,EW,,0,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,EW,Fishes (not comprehensive),True,False,EW,121.30614784127197,31.99505580160706,range_polygon,1,1,23,1,23,200,1.0,5,Extinct,1,Resident,231,self,163989.1160180991,163989.1160180991,163989.1160180991,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,231,self,Dabry's_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Dabry%27s_sturgeon,https://www.wikidata.org/entity/Q589039,https://commons.wikimedia.org/wiki/Special:FilePath/Acipenser%20dabryanus.jpg
232,135063140,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/232/135063140,"Gessner, J., Freyhof, J. & Kottelat, M. 2022. Acipenser gueldenstaedtii. The IUCN Red List of Threatened Species 2022: e.T232A135063140. Accessed on 19 June 2026.",Acipenser gueldenstaedtii,Russian Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),True,False,CR,49.04694456693822,44.4930816601251,range_polygon,1,1,33,1,33,200,1.0,1,Extant,1,Resident,232,self,1073934.1769035268,1073934.1769035268,1073934.1769035268,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,232,self,Russian_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Russian_sturgeon,https://www.wikidata.org/entity/Q747645,https://commons.wikimedia.org/wiki/Special:FilePath/Waxdick%20%28Acipenser%20gueldenstaedtii%20%29%20-%20crop.jpg
233,97433481,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/233/97433481,"Moser, M. 2022. Acipenser medirostris. The IUCN Red List of Threatened Species 2022: e.T233A97433481. Accessed on 19 June 2026.",Acipenser medirostris,Green Sturgeon,EN,Unknown,5000-6000,1500,1316953,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,EN,Fishes (not comprehensive),True,False,EN,-124.22150485955152,42.26872456270442,range_polygon,1,1,15,2,14,200,0.9988983957422484,1,Extant,1,Resident,233,self,759183.5981046809,758347.2782205935,758347.2782205935,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,233,self,Green_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Green_sturgeon,https://www.wikidata.org/entity/Q1552149,https://commons.wikimedia.org/wiki/Special:FilePath/Acipenser%20medirostris.jpg
234,97440736,2020-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/234/97440736,"Crossman, J. & Hildebrand, L. 2022. Acipenser transmontanus. The IUCN Red List of Threatened Species 2022: e.T234A97440736. Accessed on 19 June 2026.",Acipenser transmontanus,White Sturgeon,VU,Stable,,10000,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,VU,Fishes (not comprehensive),True,False,VU,-118.44826120658048,46.85222777947562,range_polygon,1,1,1441,1,1441,200,1.0,1,Extant,1,Resident,234,self,657035.9458967684,657035.9458967684,657035.9458967684,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,234,self,White_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/White_sturgeon,https://www.wikidata.org/entity/Q592876,https://commons.wikimedia.org/wiki/Special:FilePath/4803%20white%20sturgeon%20swart%20odfw%20%284455050144%29.jpg
235,135063465,2019-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/235/135063465,"Gessner, J., Freyhof, J. & Kottelat, M. 2022. Acipenser persicus. The IUCN Red List of Threatened Species 2022: e.T235A135063465. Accessed on 19 June 2026.",Acipenser persicus,Persian Sturgeon,CR,Decreasing,200,90,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),True,False,CR,50.24162197038917,42.810203396474826,range_polygon,1,1,14,1,14,200,1.0,1,Extant,1,Resident,235,self,603562.2137678065,603562.2137678065,603562.2137678065,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,235,self,Persian_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Persian_sturgeon,https://www.wikidata.org/entity/Q499866,https://commons.wikimedia.org/wiki/Special:FilePath/Acipenser%20persicus.jpg
236,219152605,2019-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/236/219152605,"Qiwei, W. 2022. Acipenser sinensis (amended version of 2022 assessment). The IUCN Red List of Threatened Species 2022: e.T236A219152605. Accessed on 19 June 2026.",Acipenser sinensis,Chinese Sturgeon,CR,Decreasing,,10,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),True,False,CR,123.0647157904018,27.14287887901113,range_polygon,1,1,638,1,638,200,1.0,1,Extant,1,Resident,236,self,1093137.3845113176,1093137.3845113176,1093137.3845113176,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,236,self,Chinese_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Chinese_sturgeon,https://www.wikidata.org/entity/Q1074259,https://commons.wikimedia.org/wiki/Special:FilePath/Acipenser%20sinensis.JPG
241,227578157,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/241/227578157,"Chebanov, M., Mugue, N. & Qiwei, W. 2022. Acipenser mikadoi (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T241A227578157. Accessed on 19 June 2026.",Acipenser mikadoi,Sakhalin Sturgeon,CR,Decreasing,50,100,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),True,False,CR,142.95295859989648,47.93437974632043,range_polygon,1,1,139,1,139,200,1.0,1,Extant,1,Resident,241,self,233971.65915579855,233971.65915579855,233971.65915579855,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,241,self,Sakhalin_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Sakhalin_sturgeon,https://www.wikidata.org/entity/Q1842196,https://commons.wikimedia.org/wiki/Special:FilePath/RR5109-0045R%20C%D0%B0%D1%85%D0%B0%D0%BB%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BE%D1%81%D0%B5%D1%82%D1%80.gif
244,156718817,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/244/156718817,"Ruban, G. & Mugue, N. 2022. Acipenser baerii. The IUCN Red List of Threatened Species 2022: e.T244A156718817. Accessed on 19 June 2026.",Acipenser baerii,Siberian Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),True,False,CR,73.71725523886298,61.01458333207296,range_polygon,1,1,465,1,465,200,1.0,1,Extant,1,Resident,244,self,5347813.895434793,5347813.895434793,5347813.895434793,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,244,self,Siberian_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Siberian_sturgeon,https://www.wikidata.org/entity/Q756771,https://commons.wikimedia.org/wiki/Special:FilePath/Acipenser%20baerii.jpg
245,2785934,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/245/2785934,"Hilton, E. & Fox, D. 2022. Acipenser oxyrinchus. The IUCN Red List of Threatened Species 2022: e.T245A2785934. Accessed on 19 June 2026.",Acipenser oxyrinchus,Atlantic Sturgeon,VU,Increasing,10000,20000,,species,,"[242, 243]",ACTINOPTERYGII,STURGEONS_PADDLEFISHES,VU,Fishes (not comprehensive),True,False,VU,-68.64523874480163,40.72545076959833,range_polygon,1,1,1580,1,1580,200,1.0,1,Extant,1,Resident,245,self,1688316.9032576918,1688316.9032576918,1688316.9032576918,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2022,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2022. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,245,self,Acipenser_oxyrinchus,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Acipenser_oxyrinchus,https://www.wikidata.org/entity/Q756969,https://commons.wikimedia.org/wiki/Special:FilePath/Atlantic%20sturgeon.jpg
4592,264488576,2024-07-17T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/4592/264488576,"Sadovy, Y., Craig, M.T., Pollard, D.A., Nair, R., Wen, C.K., Liu, M., Samoilys, M. & Santos, M. 2025. Cheilinus undulatus. The IUCN Red List of Threatened Species 2025: e.T4592A264488576. Accessed on 26 June 2026.",Cheilinus undulatus,Humphead Wrasse,EN,Decreasing,,,,species,,[],ACTINOPTERYGII,WRASSES_PARROTFISHES,EN,Fishes (not comprehensive),True,False,EN,134.80624260839954,-0.4023831436587683,range_polygon,1,1,225,11,134,200,0.6568347337729752,1,Extant,1,Resident,4592,self,17783916.081622608,11681093.784913518,11681093.784913518,,WRASSES_PARROTFISHES.shp,IUCN Marine Biodiversity Unit,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,4592,self,Humphead_wrasse,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Humphead_wrasse,https://www.wikidata.org/entity/Q179377,https://commons.wikimedia.org/wiki/Special:FilePath/Cheilinus%20undulatus%20-%20R%20Vasconcellos%20-%20582969181.jpeg
