taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit,wiki_lookup_taxonid,wiki_lookup_source,wiki_title,wiki_language,wiki_project,wiki_url,wikidata_url,wikidata_image_url,popularity
133461,165902902,2021-06-01T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/133461/165902902,"Sweet, M., Quimbayo, J., Nunes, F. & Huang, D. 2022. Meandrina brasiliensis. The IUCN Red List of Threatened Species 2022: e.T133461A165902902. Accessed on 26 June 2026.",Meandrina brasiliensis,Brazilian Rose Coral,CR,Decreasing,,,,species,,[],ANTHOZOA,REEF_FORMING_CORALS,CR,"Crustaceans, Molluscs (not comp.)",True,False,CR,-37.6809232659667,-12.852813709073946,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,133461,self,409201.7409556014,409201.7409556014,409201.7409556014,,REEF_FORMING_CORALS_PART1.shp,IUCN Marine Biodiversity Unit,2022,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2022. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,133461,self,Meandrina_braziliensis,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Meandrina_braziliensis,https://www.wikidata.org/entity/Q57395661,https://commons.wikimedia.org/wiki/Special:FilePath/Coral%20Pedra%20de%20Iemanj%C3%A1%20MN%2001.jpg,45
133462,165903212,2023-04-27T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/133462/165903212,"Richards, Z.T. & Nuñez Lendo, C.I. 2024. Acropora rongelapensis. The IUCN Red List of Threatened Species 2024: e.T133462A165903212. Accessed on 26 June 2026.",Acropora rongelapensis,,EN,Decreasing,,,,species,,[],ANTHOZOA,REEF_FORMING_CORALS,EN,"Crustaceans, Molluscs (not comp.)",True,False,EN,127.43836118243972,-2.980791615815087,range_polygon,1,2,4,3,1,200,0.6466062919220738,1,Extant,1,Resident,133462,self,1739293.8686449714,1124638.358967323,1124638.358967323,,REEF_FORMING_CORALS_PART2.shp,IUCN Marine Biodiversity Unit,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,133462,self,Acropora_rongelapensis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Acropora_rongelapensis,https://www.wikidata.org/entity/Q3323684,,188
133462,165903212,2023-04-27T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/133462/165903212,"Richards, Z.T. & Nuñez Lendo, C.I. 2024. Acropora rongelapensis. The IUCN Red List of Threatened Species 2024: e.T133462A165903212. Accessed on 26 June 2026.",Acropora rongelapensis,,EN,Decreasing,,,,species,,[],ANTHOZOA,REEF_FORMING_CORALS,EN,"Crustaceans, Molluscs (not comp.)",True,False,EN,168.8286100340236,8.729607343161836,range_polygon,2,2,4,3,2,200,0.327152374506384,1,Extant,1,Resident,133462,self,1739293.8686449714,569014.1190915972,569014.1190915972,,REEF_FORMING_CORALS_PART2.shp,IUCN Marine Biodiversity Unit,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,133462,self,Acropora_rongelapensis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Acropora_rongelapensis,https://www.wikidata.org/entity/Q3323684,,188
133463,165903510,2023-04-27T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/133463/165903510,"Richards, Z.T. & Nuñez Lendo, C.I. 2024. Acropora aculeus. The IUCN Red List of Threatened Species 2024: e.T133463A165903510. Accessed on 26 June 2026.",Acropora aculeus,,EN,Decreasing,,,,species,,[],ANTHOZOA,REEF_FORMING_CORALS,EN,"Crustaceans, Molluscs (not comp.)",True,False,EN,150.1017570591232,-1.9632222843142944,range_polygon,1,1,93,7,42,200,0.8380543797039948,1,Extant,1,Resident,133463,self,16560638.668285197,13878715.766651738,13878715.766651738,,REEF_FORMING_CORALS_PART3.shp,IUCN Marine Biodiversity Unit,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,133463,self,Acropora_aculeus,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Acropora_aculeus,https://www.wikidata.org/entity/Q3949232,https://commons.wikimedia.org/wiki/Special:FilePath/Acropora%20aculeus.JPG,547
133464,165904170,2023-04-27T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/133464/165904170,"de la Rosa, G. & Nuñez Lendo, C.I. 2024. Alveopora excelsa. The IUCN Red List of Threatened Species 2024: e.T133464A165904170. Accessed on 26 June 2026.",Alveopora excelsa,,VU,Decreasing,,,,species,,[],ANTHOZOA,REEF_FORMING_CORALS,VU,"Crustaceans, Molluscs (not comp.)",True,False,VU,104.81428861660352,7.405104709715241,range_polygon,1,1,16,3,14,200,0.9540925641046568,1,Extant,1,Resident,133464,self,6694175.348312649,6386862.9226378,6386862.9226378,,REEF_FORMING_CORALS_PART1.shp,IUCN Marine Biodiversity Unit,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,133464,self,Alveopora_excelsa,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Alveopora_excelsa,https://www.wikidata.org/entity/Q3955403,,26
133466,179621708,2021-06-01T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/133466/179621708,"Sweet, M., Nunes, F. & Hoeksema, B. 2022. Millepora striata. The IUCN Red List of Threatened Species 2022: e.T133466A179621708. Accessed on 26 June 2026.",Millepora striata,,VU,Decreasing,,,,species,,[],HYDROZOA,REEF_FORMING_CORALS,VU,"Crustaceans, Molluscs (not comp.)",True,False,VU,-66.16859844567827,11.089352600205576,range_polygon,1,2,5,2,2,200,0.7525781412397142,1,Extant,1,Resident,133466,self,407657.5165877075,306794.1360959749,306794.1360959749,,REEF_FORMING_CORALS_PART3.shp,IUCN Marine Biodiversity Unit/GMSA,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit/GMSA 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,133466,self,Millepora_striata,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Millepora_striata,https://www.wikidata.org/entity/Q4015926,,333
133466,179621708,2021-06-01T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/133466/179621708,"Sweet, M., Nunes, F. & Hoeksema, B. 2022. Millepora striata. The IUCN Red List of Threatened Species 2022: e.T133466A179621708. Accessed on 26 June 2026.",Millepora striata,,VU,Decreasing,,,,species,,[],HYDROZOA,REEF_FORMING_CORALS,VU,"Crustaceans, Molluscs (not comp.)",True,False,VU,-86.18115736967121,16.6041874467276,range_polygon,2,2,5,2,3,200,0.2474218587602857,1,Extant,1,Resident,133466,self,407657.5165877075,100863.38049173262,100863.38049173262,,REEF_FORMING_CORALS_PART3.shp,IUCN Marine Biodiversity Unit/GMSA,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit/GMSA 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,133466,self,Millepora_striata,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Millepora_striata,https://www.wikidata.org/entity/Q4015926,,333
133467,165904877,2023-04-27T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/133467/165904877,"de la Rosa, G. & Nuñez Lendo, C.I. 2024. Alveopora minuta. The IUCN Red List of Threatened Species 2024: e.T133467A165904877. Accessed on 26 June 2026.",Alveopora minuta,,EN,Decreasing,,,,species,,[],ANTHOZOA,REEF_FORMING_CORALS,EN,"Crustaceans, Molluscs (not comp.)",True,False,EN,125.17048580767464,-1.0971338285046233,range_polygon,1,1,9,1,9,200,1.0,1,Extant,1,Resident,133467,self,6826709.553400307,6826709.553400307,6826709.553400307,,REEF_FORMING_CORALS_PART1.shp,IUCN Marine Biodiversity Unit,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,133467,self,Alveopora_minuta,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Alveopora_minuta,https://www.wikidata.org/entity/Q3943694,,30
133469,165906044,2023-04-27T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/133469/165906044,"Nuñez Lendo, C.I. 2024. Acropora downingi. The IUCN Red List of Threatened Species 2024: e.T133469A165906044. Accessed on 26 June 2026.",Acropora downingi,,EN,Decreasing,,,,species,,[],ANTHOZOA,REEF_FORMING_CORALS,EN,"Crustaceans, Molluscs (not comp.)",True,False,EN,56.249213655491445,17.457014058187845,range_polygon,1,1,3,2,2,200,0.9792586993244378,1,Extant,1,Resident,133469,self,1301549.7160210833,1274553.8820168974,1274553.8820168974,,REEF_FORMING_CORALS_PART3.shp,IUCN Marine Biodiversity Unit,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,133469,self,Acropora_downingi,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Acropora_downingi,https://www.wikidata.org/entity/Q3944399,,212
133471,165906998,2023-04-27T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/133471/165906998,"Richards, Z.T., Porter, S.N. & Nuñez Lendo, C.I. 2024. Acropora bushyensis. The IUCN Red List of Threatened Species 2024: e.T133471A165906998. Accessed on 26 June 2026.",Acropora bushyensis,,EN,Decreasing,,,,species,,[],ANTHOZOA,REEF_FORMING_CORALS,EN,"Crustaceans, Molluscs (not comp.)",True,False,EN,150.60964865616552,-16.880059424337354,range_polygon,1,2,67,4,47,200,0.6131828391451857,1,Extant,1,Resident,133471,self,3258603.910334311,1998119.9973883969,1998119.9973883969,,REEF_FORMING_CORALS_PART2.shp,IUCN Marine Biodiversity Unit,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,133471,self,Acropora_bushyensis,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Acropora_bushyensis,https://www.wikidata.org/entity/Q3949442,,25
