taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
3575,191701453,2015-01-26T00:00:00.000+00:00,2021,https://www.iucnredlist.org/species/3575/191701453,"Neves, L.G., Jerusalinsky, L., Pereira, D.G., Bicca-Marques, J.C., Rylands, A.B. & Mittermeier, R.A. 2021. Callithrix kuhlii (amended version of 2019 assessment). The IUCN Red List of Threatened Species 2021: e.T3575A191701453. Accessed on 22 June 2026.",Callithrix kuhlii,Wied's Marmoset,VU,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,3575,self,True,False,VU
3590,45224953,2015-03-26T00:00:00.000+00:00,2015,https://www.iucnredlist.org/species/3590/45224953,"Gelatt, T., Ream, R. & Johnson, D. 2015. Callorhinus ursinus. The IUCN Red List of Threatened Species 2015: e.T3590A45224953. Accessed on 22 June 2026.",Callorhinus ursinus,Northern Fur Seal,VU,Decreasing,650000,16996944,20302016,species,,[],MAMMALIA,MAMMALS,VU,Mammals,3590,self,True,False,VU
3591,22254804,2016-01-04T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/3591/22254804,"Kennerley, R. & Meijaard, E. 2016. Callosciurus adamsi. The IUCN Red List of Threatened Species 2016: e.T3591A22254804. Accessed on 22 June 2026.",Callosciurus adamsi,Ear-spot Squirrel,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,3591,self,True,False,NT
3598,22254282,2016-05-05T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/3598/22254282,"Lee, B. 2016. Callosciurus melanogaster. The IUCN Red List of Threatened Species 2016: e.T3598A22254282. Accessed on 22 June 2026.",Callosciurus melanogaster,Mentawai Squirrel,VU,Decreasing,,500-2000,13319,species,,[],MAMMALIA,MAMMALS,VU,Mammals,3598,self,True,False,VU
3747,163509841,2018-01-10T00:00:00.000+00:00,2018,https://www.iucnredlist.org/species/3747/163509841,"Phillips, M. 2018. Canis rufus (errata version published in 2020). The IUCN Red List of Threatened Species 2018: e.T3747A163509841. Accessed on 22 June 2026.",Canis rufus,Red Wolf,CR,Decreasing,20-30,,,species,,[],MAMMALIA,MAMMALS,CR,Mammals,3747,self,True,False,CR
3748,10051312,2011-03-15T00:00:00.000+00:00,2011,https://www.iucnredlist.org/species/3748/10051312,"Marino, J. & Sillero-Zubiri, C. 2011. Canis simensis. The IUCN Red List of Threatened Species 2011: e.T3748A10051312. Accessed on 22 June 2026.",Canis simensis,Ethiopian Wolf,EN,Decreasing,197,2800,4200,species,,[],MAMMALIA,MAMMALS,EN,Mammals,3748,self,True,False,EN
3786,22145942,2020-03-22T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/3786/22145942,"Weinberg, P. & Ambarli, H. 2020. Capra aegagrus. The IUCN Red List of Threatened Species 2020: e.T3786A22145942. Accessed on 22 June 2026.",Capra aegagrus,Wild Goat,NT,Stable,70000,,3957793,species,,[],MAMMALIA,MAMMALS,NT,Mammals,3786,self,True,False,NT
3787,97218336,2014-09-20T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/3787/97218336,"Michel, S. & Rosen Michel, T. 2015. Capra falconeri (errata version published in 2016). The IUCN Red List of Threatened Species 2015: e.T3787A97218336. Accessed on 22 June 2026.",Capra falconeri,Markhor,NT,Increasing,5754,,10000,species,,[],MAMMALIA,MAMMALS,NT,Mammals,3787,self,True,False,NT
3794,22143809,2019-11-29T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/3794/22143809,"Weinberg, P. 2020. Capra caucasica. The IUCN Red List of Threatened Species 2020: e.T3794A22143809. Accessed on 22 June 2026.",Capra caucasica,Western Tur,EN,Decreasing,3000-4000,,3344,species,,[],MAMMALIA,MAMMALS,EN,Mammals,3794,self,True,False,EN
3795,91287260,2019-11-29T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/3795/91287260,"Lortkipanidze, B. & Weinberg, P. 2020. Capra cylindricornis. The IUCN Red List of Threatened Species 2020: e.T3795A91287260. Accessed on 22 June 2026.",Capra cylindricornis,Eastern Tur,NT,Stable,23000,,33265,species,,[],MAMMALIA,MAMMALS,NT,Mammals,3795,self,True,False,NT
3796,22143385,2020-03-01T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/3796/22143385,"Ross, S., Elalqamy, H., Al Said, T. & Saltz, D. 2020. Capra nubiana. The IUCN Red List of Threatened Species 2020: e.T3796A22143385. Accessed on 22 June 2026.",Capra nubiana,Nubian Ibex,VU,Decreasing,4500,70560,2728301,species,,[],MAMMALIA,MAMMALS,VU,Mammals,3796,self,True,False,VU
3797,178652661,2020-03-12T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/3797/178652661,"Ejigu, D. 2020. Capra walie (errata version published in 2020). The IUCN Red List of Threatened Species 2020: e.T3797A178652661. Accessed on 22 June 2026.",Capra walie,Walia Ibex,VU,Increasing,585,94,1240,species,,[],MAMMALIA,MAMMALS,VU,Mammals,3797,self,True,False,VU
