taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
178535383,178535425,2021-01-15T00:00:00.000+00:00,2024,https://www.iucnredlist.org/species/178535383/178535425,"Perez, A. 2024. Hyphessobrycon ecuadorensis. The IUCN Red List of Threatened Species 2024: e.T178535383A178535425. Accessed on 24 June 2026.",Hyphessobrycon ecuadorensis,Sardina de rio,NT,Unknown,,8652,26497,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",178535383,self,True,False,NT
178662327,178662331,2021-01-15T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/178662327/178662331,"Perez, A. 2023. Pimelodella martinezi. The IUCN Red List of Threatened Species 2023: e.T178662327A178662331. Accessed on 24 June 2026.",Pimelodella martinezi,Arrechito,VU,Unknown,,,11578,species,,[],ACTINOPTERYGII,FW_FISH,VU,"Fish (sharks, freshwater)",178662327,self,True,False,VU
178663111,178663140,2021-01-15T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/178663111/178663140,"Perez, A. 2023. Chaetostoma dupouii. The IUCN Red List of Threatened Species 2023: e.T178663111A178663140. Accessed on 24 June 2026.",Chaetostoma dupouii,Corroncho,VU,Unknown,,5232,7099,species,,[],ACTINOPTERYGII,FW_FISH,VU,"Fish (sharks, freshwater)",178663111,self,True,False,VU
178671102,178671106,2021-01-15T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/178671102/178671106,"Perez, A. 2023. Hypostomus pagei. The IUCN Red List of Threatened Species 2023: e.T178671102A178671106. Accessed on 24 June 2026.",Hypostomus pagei,Corroncho,VU,Unknown,,4900,7064,species,,[],ACTINOPTERYGII,FW_FISH,VU,"Fish (sharks, freshwater)",178671102,self,True,False,VU
178671179,178671184,2021-01-15T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/178671179/178671184,"Perez, A. 2023. Lamontichthys maracaibero. The IUCN Red List of Threatened Species 2023: e.T178671179A178671184. Accessed on 24 June 2026.",Lamontichthys maracaibero,Paleta,VU,Unknown,,6528,17683,species,,[],ACTINOPTERYGII,FW_FISH,VU,"Fish (sharks, freshwater)",178671179,self,True,False,VU
178671193,178671208,2021-01-15T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/178671193/178671208,"Perez, A. 2023. Pterygoplichthys zuliaensis. The IUCN Red List of Threatened Species 2023: e.T178671193A178671208. Accessed on 24 June 2026.",Pterygoplichthys zuliaensis,Corroncho,VU,Unknown,,,17470,species,,[],ACTINOPTERYGII,FW_FISH,VU,"Fish (sharks, freshwater)",178671193,self,True,False,VU
178671788,178671820,2021-01-15T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/178671788/178671820,"Perez, A. 2023. Leiarius perruno. The IUCN Red List of Threatened Species 2023: e.T178671788A178671820. Accessed on 24 June 2026.",Leiarius perruno,Bagre Perruno,VU,Decreasing,,7048,16100,species,,[],ACTINOPTERYGII,FW_FISH,VU,"Fish (sharks, freshwater)",178671788,self,True,False,VU
178676000,178676041,2021-01-15T00:00:00.000+00:00,2024,https://www.iucnredlist.org/species/178676000/178676041,"Perez, A. 2024. Trichomycterus atochae. The IUCN Red List of Threatened Species 2024: e.T178676000A178676041. Accessed on 24 June 2026.",Trichomycterus atochae,Bagre pintado,VU,Unknown,,,12685,species,,[],ACTINOPTERYGII,FW_FISH,VU,"Fish (sharks, freshwater)",178676000,self,True,False,VU
178839665,178839800,2019-11-27T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/178839665/178839800,"Mateos, M. 2020. Poeciliopsis jackschultzi. The IUCN Red List of Threatened Species 2020: e.T178839665A178839800. Accessed on 24 June 2026.",Poeciliopsis jackschultzi,Rio Concepcion Topminnow,EN,Decreasing,,12,12,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",178839665,self,True,True,EN
178954351,178954362,2020-10-28T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/178954351/178954362,"Carvajal-Vallejos, F.M. 2023. Acrobrycon ortii. The IUCN Red List of Threatened Species 2023: e.T178954351A178954362. Accessed on 24 June 2026.",Acrobrycon ortii,,NT,Unknown,,2216,2756,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",178954351,self,True,True,NT
